STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,CLUSTER,CLUSTER NAME
UTTAR PRADESH,SITAPUR,2002,167,144,43,73,0,73,99,61,38,3,0,87,171,590,60,530,102,42,62,0,32,310,83,65,13,66,0,162,1091,3405,1,Moderate Areas
ODISHA,BALASORE,2009,26,50,2,46,0,46,62,55,7,11,4,53,183,322,97,225,53,37,103,5,19,1423,46,124,22,244,0,0,570,3405,1,Moderate Areas
BIHAR,GAYA,2007,157,170,11,28,0,28,59,55,4,48,8,90,118,439,128,311,316,6,62,0,61,1431,74,15,0,15,0,93,205,3406,1,Moderate Areas
RAJASTHAN,SAWAI MADHOPUR,2009,14,29,0,17,0,17,83,66,17,0,0,4,83,545,381,164,6,10,168,0,11,1,10,18,0,171,0,96,2140,3406,1,Moderate Areas
MAHARASHTRA,LATUR,2009,70,36,1,33,0,33,28,28,0,14,3,33,212,427,198,229,195,8,84,4,24,715,15,49,0,159,0,209,1088,3407,1,Moderate Areas
KARNATAKA,MYSORE COMMR.,2010,30,51,0,7,0,7,24,18,6,6,6,199,203,855,564,291,95,10,276,9,0,238,4,22,0,59,0,0,1313,3407,1,Moderate Areas
BIHAR,SIWAN,2011,85,180,0,16,0,16,196,150,46,13,1,16,87,309,89,220,295,31,55,0,15,175,139,4,3,53,5,220,1510,3408,1,Moderate Areas
GUJARAT,SURAT RURAL,2011,36,8,1,6,0,6,16,14,2,14,0,16,79,301,123,178,31,22,53,3,6,149,0,9,0,55,0,497,2106,3408,1,Moderate Areas
PUNJAB,LUDHIANA,2007,63,76,8,58,0,58,120,93,27,3,20,19,273,664,334,330,0,31,310,4,6,276,9,25,13,107,0,285,1039,3409,1,Moderate Areas
BIHAR,AURANGABAD,2011,88,105,1,18,0,18,62,60,2,31,0,38,120,299,38,261,334,74,168,0,13,366,30,32,0,152,0,172,1306,3409,1,Moderate Areas
KARNATAKA,KOLAR,2006,96,59,1,13,0,13,27,19,8,8,3,24,139,404,116,288,279,11,39,1,0,701,16,50,0,47,0,6,1487,3411,1,Moderate Areas
KARNATAKA,BELLARY,2010,58,40,0,12,0,12,20,15,5,8,1,28,150,270,179,91,228,9,77,5,16,440,13,80,0,99,0,16,1844,3414,1,Moderate Areas
MADHYA PRADESH,JHABUA,2001,124,119,3,44,0,44,83,80,3,5,5,20,163,269,13,256,74,5,10,0,45,634,5,127,4,24,0,0,1653,3416,1,Moderate Areas
TAMIL NADU,PUDUKOTTAI,2001,30,30,0,5,0,5,27,24,3,2,0,5,81,238,79,159,198,3,8,2,23,254,2,32,4,25,0,166,2281,3416,1,Moderate Areas
BIHAR,SAMASTIPUR,2008,81,292,31,32,0,32,74,62,12,8,11,28,75,381,49,332,253,25,34,0,41,315,60,15,5,52,15,303,1285,3416,1,Moderate Areas
DELHI UT,NORTH,2004,25,23,8,23,0,23,85,55,30,5,6,30,99,1155,429,726,6,56,115,11,9,125,6,21,5,55,0,0,1550,3418,1,Moderate Areas
BIHAR,GAYA,2005,158,175,6,22,0,22,77,20,57,112,16,129,145,410,39,371,405,20,23,0,32,532,8,28,0,11,0,40,1069,3418,1,Moderate Areas
RAJASTHAN,BIKANER,2005,39,86,0,30,0,30,20,20,0,2,0,14,147,362,107,255,0,12,185,1,14,362,12,67,0,199,0,162,1704,3418,1,Moderate Areas
MAHARASHTRA,LATUR,2011,68,48,3,17,0,17,37,37,0,16,3,50,251,404,181,223,280,11,128,1,26,684,4,57,0,156,0,215,959,3418,1,Moderate Areas
BIHAR,ROHTAS,2002,132,35,5,15,0,15,92,10,82,85,2,90,166,375,15,360,401,12,22,0,10,22,52,4,0,82,0,349,1468,3419,1,Moderate Areas
BIHAR,BEGUSARAI,2011,100,40,2,17,0,17,119,94,25,12,0,40,67,345,120,225,257,40,87,0,20,595,39,12,0,39,0,411,1178,3420,1,Moderate Areas
MADHYA PRADESH,RATLAM,2012,37,55,1,72,0,72,28,25,3,1,7,26,110,330,157,173,27,29,53,0,17,858,13,128,11,85,0,128,1404,3420,1,Moderate Areas
MADHYA PRADESH,GUNA,2004,45,32,8,78,0,78,6,4,2,1,10,21,238,271,63,208,68,5,9,0,17,968,10,161,13,42,0,114,1304,3421,1,Moderate Areas
MADHYA PRADESH,GUNA,2005,40,34,3,77,0,77,5,5,0,4,6,34,174,269,50,219,88,7,22,0,13,1115,3,176,18,61,0,102,1170,3421,1,Moderate Areas
GUJARAT,PANCHMAHAL,2006,62,13,0,6,0,6,44,42,2,5,0,19,115,205,81,124,37,27,24,2,20,300,0,24,0,101,0,0,2417,3421,1,Moderate Areas
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,10,1,13,0,13,13,6,7,1,0,5,323,630,172,458,9,37,192,3,15,325,0,33,462,204,0,196,928,3422,1,Moderate Areas
MAHARASHTRA,KOLHAPUR,2005,65,62,2,26,0,26,25,15,10,7,1,27,258,690,250,440,167,98,184,3,10,552,22,47,12,76,0,281,808,3423,1,Moderate Areas
BIHAR,GAYA,2006,158,178,28,25,0,25,68,50,18,72,37,100,128,443,72,371,326,59,39,7,92,498,168,0,0,9,0,215,774,3424,1,Moderate Areas
KARNATAKA,DAKSHIN KANNADA,2002,26,27,0,9,0,9,6,0,6,3,0,9,173,208,103,105,141,11,49,11,17,502,0,22,5,28,0,4,2178,3429,1,Moderate Areas
HARYANA,SONIPAT,2009,83,70,3,32,0,32,57,42,15,12,15,69,257,774,491,283,5,18,109,1,17,239,17,21,46,129,0,286,1169,3429,1,Moderate Areas
RAJASTHAN,SAWAI MADHOPUR,2008,25,31,0,16,0,16,50,39,11,0,3,17,86,466,295,171,6,3,212,0,2,5,6,29,0,144,0,82,2252,3435,1,Moderate Areas
UTTAR PRADESH,AGRA,2003,126,116,34,27,0,27,99,73,26,22,1,60,203,724,417,307,140,83,122,21,12,360,55,59,55,183,0,40,896,3438,1,Moderate Areas
BIHAR,SARAN,2001,137,70,0,20,0,20,65,15,50,69,6,93,96,246,32,214,309,12,14,1,43,878,67,22,0,101,0,106,1087,3442,1,Moderate Areas
MAHARASHTRA,AKOLA,2012,42,34,3,19,0,19,22,19,3,3,2,49,191,677,129,548,107,23,103,21,33,720,4,92,40,87,0,172,998,3442,1,Moderate Areas
MAHARASHTRA,WARDHA,2001,60,25,4,35,0,35,12,12,0,6,0,20,266,592,30,562,174,15,29,0,27,757,9,98,35,89,0,139,1051,3443,1,Moderate Areas
UTTAR PRADESH,MORADABAD,2001,213,171,18,44,0,44,102,72,30,20,0,101,160,607,160,447,97,40,104,2,21,246,45,79,85,207,0,238,845,3445,1,Moderate Areas
BIHAR,VAISHALI,2002,99,109,19,16,0,16,72,41,31,10,5,42,116,306,40,266,207,64,115,1,23,235,65,21,0,60,0,76,1784,3445,1,Moderate Areas
MADHYA PRADESH,MANDSAUR,2009,34,33,0,46,0,46,30,17,13,0,2,33,161,317,126,191,51,17,33,3,19,230,4,124,17,93,0,109,2089,3445,1,Moderate Areas
TAMIL NADU,SALEM URBAN,2011,28,26,0,23,0,23,38,35,3,3,0,60,55,273,165,108,27,8,61,1,2,355,2,21,9,38,0,126,2289,3445,1,Moderate Areas
MAHARASHTRA,CHANDRAPUR,2005,61,18,0,41,0,41,17,14,3,9,1,29,323,704,91,613,116,23,51,7,38,578,2,93,27,110,0,188,1010,3446,1,Moderate Areas
WEST BENGAL,BDN CP,2012,15,35,4,13,0,13,53,0,53,3,53,17,10,847,216,631,32,15,186,3,0,0,9,58,8,320,0,0,1765,3446,1,Moderate Areas
ANDHRA PRADESH,CUDDAPAH,2003,95,7,4,10,0,10,37,28,9,4,0,9,109,199,33,166,74,17,65,8,35,815,5,104,31,60,0,267,1492,3447,1,Moderate Areas
MADHYA PRADESH,RATLAM,2003,45,46,3,62,0,62,14,9,5,2,7,18,169,443,111,332,24,22,37,1,19,315,5,132,13,50,0,84,1936,3447,1,Moderate Areas
HARYANA,KARNAL,2010,49,50,2,52,0,52,33,20,13,5,13,24,269,836,529,307,53,25,135,1,7,285,21,29,22,231,0,256,1049,3447,1,Moderate Areas
DELHI UT,NORTH EAST,2001,62,79,5,36,0,36,157,123,34,3,6,74,157,961,500,461,7,27,57,3,3,260,20,34,1,8,0,12,1477,3449,1,Moderate Areas
RAJASTHAN,DAUSA,2005,27,21,0,12,0,12,30,16,14,2,0,7,77,552,225,327,58,13,139,4,10,52,13,12,0,83,0,177,2161,3450,1,Moderate Areas
TAMIL NADU,PUDUKOTTAI,2007,34,29,3,14,0,14,25,20,5,0,0,9,59,257,44,213,41,14,26,0,13,273,6,55,0,36,0,238,2318,3450,1,Moderate Areas
ANDHRA PRADESH,VIZIANAGARAM,2009,30,24,2,13,0,13,15,12,3,1,0,4,128,242,1,241,8,12,118,19,15,523,8,103,105,297,0,265,1519,3451,1,Moderate Areas
BIHAR,SAMASTIPUR,2005,121,184,30,28,0,28,97,4,93,19,17,61,88,291,46,245,302,46,57,0,59,306,40,10,0,73,48,54,1521,3452,1,Moderate Areas
MAHARASHTRA,AURANGABAD COMMR.,2008,39,38,0,21,0,21,38,30,8,2,11,71,245,975,355,620,241,25,128,3,11,473,4,51,16,138,0,131,791,3452,1,Moderate Areas
TAMIL NADU,THIRUVALLUR,2011,30,38,3,6,0,6,10,10,0,2,0,27,64,126,39,87,70,2,61,0,12,362,7,2,1,12,0,321,2297,3453,1,Moderate Areas
GUJARAT,ANAND,2009,36,4,1,13,0,13,43,35,8,8,0,8,105,412,216,196,26,50,11,6,7,275,0,29,3,231,0,211,1976,3455,1,Moderate Areas
ASSAM,CACHAR,2003,68,35,0,70,0,70,120,95,25,26,2,13,273,398,0,398,395,41,58,4,82,212,3,118,0,229,0,295,1015,3457,1,Moderate Areas
TAMIL NADU,CHENNAISUBURBAN,2008,74,76,0,21,0,21,29,24,5,0,0,16,228,563,117,446,48,7,66,2,1,437,28,42,42,41,0,247,1489,3457,1,Moderate Areas
MADHYA PRADESH,GUNA,2010,37,34,0,56,0,56,12,11,1,4,4,33,136,217,115,102,84,3,23,1,15,1051,13,150,9,47,1,160,1369,3459,1,Moderate Areas
RAJASTHAN,JODHPUR CITY,2006,15,42,0,18,0,18,37,28,9,1,0,26,237,725,411,314,19,28,447,4,7,604,10,53,3,209,0,132,843,3460,1,Moderate Areas
GUJARAT,PANCHMAHAL,2009,35,16,0,15,0,15,52,51,1,15,0,17,117,278,124,154,39,41,18,0,26,324,0,27,3,147,0,0,2290,3460,1,Moderate Areas
ASSAM,CACHAR,2001,52,30,1,45,0,45,104,74,30,29,0,42,189,359,0,359,533,29,33,4,64,286,7,80,0,216,0,235,1124,3462,1,Moderate Areas
TAMIL NADU,RAMNATHAPURAM,2010,33,49,2,16,0,16,61,50,11,1,0,26,83,181,45,136,96,0,57,5,20,514,1,14,4,17,0,213,2069,3462,1,Moderate Areas
GUJARAT,ANAND,2010,24,8,3,15,0,15,45,39,6,7,0,13,101,440,238,202,42,60,21,4,16,328,0,27,3,190,0,266,1851,3464,1,Moderate Areas
MAHARASHTRA,SATARA,2001,57,19,0,32,0,32,12,7,5,6,2,20,266,464,127,337,93,43,91,2,24,487,13,49,9,179,0,387,1210,3465,1,Moderate Areas
WEST BENGAL,COOCHBEHAR,2009,52,140,7,139,0,139,151,139,12,8,2,9,4,329,72,257,126,34,53,3,4,120,13,76,0,508,0,114,1573,3465,1,Moderate Areas
HARYANA,SONIPAT,2012,86,67,4,32,0,32,62,49,13,12,7,47,270,817,521,296,4,16,119,1,8,183,30,26,25,185,0,308,1156,3465,1,Moderate Areas
UTTAR PRADESH,VARANASI,2012,59,62,13,21,0,21,99,85,14,0,0,28,94,700,444,256,96,132,341,24,1,216,35,26,0,177,0,223,1118,3465,1,Moderate Areas
WEST BENGAL,MURSHIDABAD,2003,116,16,42,106,0,106,91,84,7,7,60,20,5,391,56,335,180,7,13,8,0,418,17,131,0,408,0,228,1203,3467,1,Moderate Areas
TAMIL NADU,THIRUVALLUR,2001,34,56,3,16,0,16,24,11,13,2,0,11,106,226,30,196,201,5,28,0,28,329,6,70,17,16,0,196,2094,3468,1,Moderate Areas
ANDHRA PRADESH,VISAKHA RURAL,2011,66,28,0,38,0,38,36,30,6,0,0,11,166,283,15,268,47,20,131,0,22,1291,8,120,128,203,0,313,557,3468,1,Moderate Areas
MADHYA PRADESH,MANDSAUR,2012,37,49,0,49,0,49,34,28,6,2,2,20,147,300,132,168,25,69,42,1,13,104,6,100,6,78,1,147,2237,3469,1,Moderate Areas
JHARKHAND,JAMSHEDPUR,2007,92,67,7,65,0,65,39,31,8,17,2,62,149,944,334,610,118,106,78,0,12,826,20,30,0,56,0,172,609,3471,1,Moderate Areas
KARNATAKA,BIDAR,2011,51,33,1,14,0,14,13,11,2,2,2,9,121,137,51,86,150,9,51,0,11,896,7,27,2,77,0,11,1847,3471,1,Moderate Areas
RAJASTHAN,JODHPUR CITY,2007,16,57,2,16,0,16,55,40,15,0,0,16,207,718,429,289,20,18,487,2,11,614,11,32,1,227,0,156,806,3472,1,Moderate Areas
MADHYA PRADESH,SHIVPURI,2003,60,66,0,69,0,69,47,16,31,0,0,21,191,210,60,150,109,15,16,0,12,400,13,130,0,32,0,99,1983,3473,1,Moderate Areas
HARYANA,SONIPAT,2010,81,66,3,27,0,27,75,56,19,9,10,62,215,984,668,316,3,20,104,1,14,222,26,32,36,123,0,305,1057,3475,1,Moderate Areas
ASSAM,NAGAON,2004,79,44,1,91,0,91,139,134,5,61,3,32,237,433,68,365,346,49,54,5,31,595,6,69,5,203,0,238,756,3477,1,Moderate Areas
GUJARAT,GANDHINAGAR,2001,25,11,0,4,0,4,15,12,3,14,0,22,182,585,167,418,64,37,38,1,5,430,3,37,7,116,0,3,1879,3478,1,Moderate Areas
BIHAR,NALANDA,2001,208,249,18,40,0,40,126,12,114,51,5,97,92,412,14,398,318,19,34,3,13,611,47,14,2,54,0,60,1006,3479,1,Moderate Areas
GUJARAT,VADODARA RURAL,2012,74,6,4,15,0,15,73,72,1,11,0,18,96,310,199,111,55,17,38,5,17,296,0,23,0,90,0,409,1922,3479,1,Moderate Areas
TAMIL NADU,NAGAPATTINAM,2004,32,44,0,9,0,9,21,14,7,0,0,3,73,265,49,216,44,1,24,0,34,1308,5,28,3,9,0,111,1466,3480,1,Moderate Areas
RAJASTHAN,DAUSA,2003,33,17,0,17,0,17,40,21,19,2,1,5,82,411,178,233,82,20,116,0,17,76,3,20,0,61,0,161,2318,3482,1,Moderate Areas
MADHYA PRADESH,HOSHANGABAD,2004,50,63,76,51,0,51,20,14,6,2,7,29,264,371,95,276,33,7,47,1,15,515,8,132,11,71,0,0,1711,3484,1,Moderate Areas
RAJASTHAN,SAWAI MADHOPUR,2007,19,21,3,21,0,21,48,36,12,0,1,12,81,452,237,215,16,2,224,2,16,9,13,33,0,131,0,68,2313,3485,1,Moderate Areas
RAJASTHAN,BARAN,2003,25,90,2,50,0,50,66,66,0,0,3,18,157,398,72,326,46,15,138,1,22,280,3,175,10,187,0,54,1746,3486,1,Moderate Areas
KARNATAKA,MYSORE RURAL,2009,54,33,0,21,0,21,14,9,5,6,0,28,219,284,70,214,184,5,31,1,0,860,18,89,0,114,0,0,1525,3486,1,Moderate Areas
RAJASTHAN,SAWAI MADHOPUR,2006,24,24,1,20,0,20,47,35,12,0,0,19,104,469,256,213,5,2,190,1,10,44,7,44,0,136,0,76,2264,3487,1,Moderate Areas
TAMIL NADU,THIRUVALLUR,2010,43,51,1,18,0,18,17,13,4,2,0,6,74,143,29,114,68,3,53,5,2,360,6,10,1,19,0,336,2269,3487,1,Moderate Areas
TAMIL NADU,DHARMAPURI,2007,38,46,4,6,0,6,44,37,7,5,1,2,38,124,52,72,128,6,39,1,21,961,4,77,0,45,0,208,1690,3488,1,Moderate Areas
MADHYA PRADESH,RATLAM,2008,43,44,0,63,0,63,16,14,2,2,1,29,112,290,92,198,42,63,26,0,24,365,11,105,11,57,0,112,2072,3488,1,Moderate Areas
RAJASTHAN,BARAN,2011,24,38,4,60,0,60,91,88,3,0,0,7,68,286,123,163,5,25,286,0,9,426,10,158,1,351,0,123,1516,3488,1,Moderate Areas
GUJARAT,RAJKOT COMMR.,2006,29,15,0,4,0,4,26,18,8,1,0,26,260,718,424,294,46,12,39,18,3,369,1,5,12,165,0,94,1646,3489,1,Moderate Areas
TAMIL NADU,COIMBATORE URBAN,2001,16,20,0,4,0,4,14,10,4,4,0,15,179,952,348,604,79,20,110,4,1,152,5,19,38,28,0,187,1643,3490,1,Moderate Areas
KARNATAKA,RAICHUR,2011,53,32,1,29,0,29,37,14,23,2,0,21,91,148,84,64,320,10,116,3,0,567,10,149,0,174,0,0,1728,3491,1,Moderate Areas
WEST BENGAL,COOCHBEHAR,2012,48,94,25,92,0,92,179,169,10,3,5,9,12,284,90,194,69,23,86,3,26,163,25,117,8,539,0,119,1562,3491,1,Moderate Areas
KARNATAKA,CHITRADURGA,2005,21,14,3,15,0,15,6,5,1,2,2,12,118,230,47,183,230,8,32,1,6,723,6,62,0,29,0,0,1972,3492,1,Moderate Areas
MAHARASHTRA,WARDHA,2011,37,33,2,34,0,34,26,23,3,10,4,34,247,681,129,552,86,10,53,5,56,693,3,88,45,62,0,167,1116,3492,1,Moderate Areas
MAHARASHTRA,WARDHA,2002,49,31,5,37,0,37,21,19,2,2,2,42,257,601,51,550,122,16,43,5,31,744,2,110,30,79,0,127,1137,3493,1,Moderate Areas
MADHYA PRADESH,GUNA,2006,37,45,6,69,0,69,13,12,1,3,3,28,165,247,49,198,70,8,22,1,16,938,7,162,17,48,0,117,1472,3494,1,Moderate Areas
PUDUCHERRY,PUDUCHERRY,2012,24,21,10,7,0,7,17,14,3,5,14,13,56,577,409,168,109,8,75,5,20,632,0,7,2,5,0,219,1668,3494,1,Moderate Areas
BIHAR,VAISHALI,2003,118,207,7,29,0,29,85,40,45,9,0,31,108,338,62,276,182,49,161,20,10,262,69,22,0,65,5,98,1620,3495,1,Moderate Areas
TAMIL NADU,TRICHY URBAN,2011,27,21,1,6,0,6,28,21,7,0,0,30,55,437,154,283,10,0,57,8,2,142,2,17,26,28,0,174,2425,3496,1,Moderate Areas
RAJASTHAN,TONK,2007,23,36,1,19,0,19,60,50,10,0,0,9,84,271,94,177,51,15,212,2,9,910,3,20,1,212,0,193,1366,3497,1,Moderate Areas
MAHARASHTRA,BULDHANA,2012,49,38,5,29,0,29,31,28,3,5,0,23,149,521,137,384,220,10,109,6,46,687,27,107,35,193,0,245,962,3497,1,Moderate Areas
RAJASTHAN,JHALAWAR,2002,44,71,5,61,0,61,82,60,22,2,0,12,186,356,83,273,121,9,79,2,57,1065,7,150,11,210,0,87,881,3498,1,Moderate Areas
MADHYA PRADESH,KHARGON,2001,47,41,5,47,0,47,15,14,1,5,9,21,171,533,24,509,80,16,16,0,17,540,5,164,29,21,0,3,1714,3499,1,Moderate Areas
KERALA,KOZHIKODE COMMR.,2005,11,16,4,13,0,13,12,7,5,5,13,30,183,323,191,132,238,16,175,2,21,420,2,50,2,130,0,1,1832,3499,1,Moderate Areas
UTTAR PRADESH,MORADABAD,2005,168,169,29,52,0,52,98,88,10,10,5,65,106,574,189,385,107,54,117,11,0,94,38,95,135,209,0,142,1221,3499,1,Moderate Areas
MADHYA PRADESH,GUNA,2007,39,28,7,80,0,80,3,2,1,2,10,22,212,263,68,195,57,22,32,0,16,772,4,166,23,45,0,153,1545,3501,1,Moderate Areas
HARYANA,GURGAON,2001,69,30,5,32,0,32,50,32,18,4,15,51,294,794,435,359,78,55,29,2,20,244,17,21,21,136,0,5,1530,3502,1,Moderate Areas
TAMIL NADU,KANYAKUMARI,2003,38,36,3,11,0,11,9,9,0,4,0,7,188,232,33,199,6,9,46,4,42,479,4,22,33,50,0,156,2123,3502,1,Moderate Areas
DELHI UT,SOUTH-WEST,2010,63,20,3,54,0,54,363,203,160,1,0,30,83,1339,919,420,7,15,92,0,2,144,24,28,5,94,0,11,1125,3503,1,Moderate Areas
TAMIL NADU,THANJAVUR,2001,49,74,1,0,0,0,55,34,21,3,0,16,171,435,95,340,150,6,33,3,26,792,0,53,46,31,0,299,1263,3506,1,Moderate Areas
MADHYA PRADESH,SIDHI,2001,36,21,2,42,0,42,33,30,3,9,1,15,315,346,18,328,33,2,25,2,23,561,27,105,2,66,0,89,1753,3508,1,Moderate Areas
RAJASTHAN,BANSWARA,2001,40,24,3,90,0,90,61,59,2,4,1,23,96,118,14,104,427,8,54,0,51,1452,10,112,1,151,0,56,726,3508,1,Moderate Areas
RAJASTHAN,SAWAI MADHOPUR,2010,23,27,3,16,0,16,86,65,21,1,0,13,90,456,305,151,7,2,209,0,8,0,0,26,0,179,0,107,2257,3510,1,Moderate Areas
TAMIL NADU,RAMNATHAPURAM,2011,42,60,0,6,0,6,53,51,2,0,0,22,101,190,36,154,86,1,50,0,40,495,1,14,0,9,0,228,2113,3511,1,Moderate Areas
GUJARAT,ANAND,2003,28,21,2,5,0,5,36,32,4,10,1,19,170,432,129,303,40,60,65,9,13,518,0,24,3,130,0,194,1732,3512,1,Moderate Areas
RAJASTHAN,BIKANER,2003,50,88,0,27,0,27,41,28,13,0,1,12,125,352,98,254,4,35,196,0,14,639,14,50,0,164,0,134,1566,3512,1,Moderate Areas
MADHYA PRADESH,TIKAMGARH,2007,56,35,1,63,0,63,18,15,3,4,1,35,175,207,32,175,69,3,20,0,32,1014,14,148,0,39,0,80,1498,3512,1,Moderate Areas
MAHARASHTRA,LATUR,2010,65,41,0,28,0,28,31,31,0,20,4,57,226,444,187,257,242,14,87,6,33,703,3,85,3,229,0,232,960,3513,1,Moderate Areas
UTTAR PRADESH,ALLAHABAD,2005,144,118,48,17,0,17,67,50,17,4,0,48,198,487,246,241,120,58,162,7,25,284,40,30,47,117,0,272,1224,3517,1,Moderate Areas
RAJASTHAN,JAIPUR NORTH,2008,14,37,1,25,0,25,69,69,0,2,1,26,121,745,437,308,56,31,475,0,6,417,5,26,0,149,0,128,1183,3517,1,Moderate Areas
ASSAM,CACHAR,2004,46,30,3,46,0,46,112,92,20,21,0,15,249,411,31,380,388,61,66,3,42,196,4,114,0,256,0,306,1149,3518,1,Moderate Areas
ASSAM,CACHAR,2002,57,44,0,71,0,71,93,80,13,29,1,18,206,448,3,445,446,50,33,3,57,234,7,156,0,219,0,291,1057,3520,1,Moderate Areas
WEST BENGAL,NADIA,2003,93,0,7,108,0,108,59,59,0,16,41,14,16,658,0,658,193,0,0,0,12,635,23,96,2,299,0,93,1155,3520,1,Moderate Areas
KARNATAKA,DAKSHIN KANNADA,2003,35,30,1,3,0,3,10,5,5,7,0,7,163,220,99,121,194,4,40,2,22,508,2,23,4,31,0,5,2210,3521,1,Moderate Areas
BIHAR,VAISHALI,2005,69,108,10,13,0,13,133,51,82,14,4,50,94,377,53,324,105,72,109,2,32,306,72,36,0,74,0,137,1705,3522,1,Moderate Areas
GUJARAT,SURENDRANAGAR,2005,30,21,0,13,0,13,38,31,7,8,0,23,126,305,71,234,77,40,8,22,7,494,0,36,1,90,0,151,2036,3526,1,Moderate Areas
BIHAR,SARAN,2006,134,290,18,48,0,48,104,70,34,41,2,80,135,318,50,268,228,27,126,1,32,1324,74,49,0,102,0,98,295,3526,1,Moderate Areas
MADHYA PRADESH,CHHATARPUR,2004,56,44,2,62,0,62,19,14,5,3,2,36,244,206,0,206,40,9,16,0,27,482,17,160,20,55,0,70,1958,3528,1,Moderate Areas
DELHI UT,CENTRAL,2005,23,28,3,20,0,20,52,32,20,1,9,20,57,1192,492,700,1,39,164,5,5,182,4,40,26,48,1,9,1600,3529,1,Moderate Areas
KARNATAKA,CHITRADURGA,2006,38,21,3,16,0,16,19,17,2,2,0,9,127,276,54,222,193,7,26,0,2,709,3,52,0,28,0,0,2000,3531,1,Moderate Areas
ANDHRA PRADESH,MEDAK,2001,101,56,12,35,0,35,26,20,6,27,0,26,219,286,36,250,100,17,87,4,37,1367,26,100,25,192,0,335,454,3532,1,Moderate Areas
RAJASTHAN,JHALAWAR,2001,38,99,8,65,0,65,89,57,32,2,3,45,220,383,67,316,206,19,95,1,55,1046,8,144,10,224,0,61,712,3533,1,Moderate Areas
